Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, October, 1930"
Contents,"Stolen Brains / S. P. Meek The Invisible Death / Victor Rousseau Prisoners of the Electron / Robert H. Leitfred Jetta of the Lowlands (Part 2 of 3) / Ray Cummings An Extra Man / Jackson Gee"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29882
Release Date,"Sep 1, 2009"
Copyright Status,Public domain in the USA.
Downloads,77 downloads in the last 30 days.
Price,$0.00
