Author,"Barr, Robert, 1850-1912"
Title,The Face and the Mask
Contents,"The woman of stone -- The chemistry of anarchy -- The fear of it -- The metamorphoses of Johnson -- The reclamation of Joe Hollends -- The type-written letter -- The doom of London -- The predicament of De Plonville -- A new explosive -- The great Pegram mystery -- Death cometh soon or late -- High stakes -- ""Where ignorance is bliss"" -- The departure of Cub McLean -- Old number eighty-six -- Playing with marked cards -- The bruiser's courtship --  The raid on Mellish -- Striking back -- Crandall's choice -- The failure of Bradley -- Ringamy's convert -- A slippery customer -- The sixth bench."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fiction, Short stories"
Category,Text
EBook-No.,8681
Release Date,"Nov 14, 2004"
Copyright Status,Public domain in the USA.
Downloads,82 downloads in the last 30 days.
Price,$0.00
