Author,"Wylie, Philip, 1902-1971"
Title,Gladiator
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Fathers and sons -- Fiction, Psychological fiction, Alienation (Social psychology) -- Fiction, Human experimentation in medicine -- Fiction, Loneliness -- Fiction, Muscle strength -- Fiction"
Category,Text
EBook-No.,42914
Release Date,"Jun 11, 2013"
Copyright Status,Public domain in the USA.
Downloads,131 downloads in the last 30 days.
Price,$0.00
