Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories, March, 1931"
Contents,"When the Mountain Came to Miramar / Charles Willard DiffinBeyond the Vanishing Point / Ray CummingsTerrors Unseen / Harl VincentPhalanxes of Atlans (Part 2 of 2) / F. V. W. MasonThe Meteor Girl / Jack Williamson"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,30166
Release Date,"Oct 3, 2009"
Copyright Status,Public domain in the USA.
Downloads,78 downloads in the last 30 days.
Price,$0.00
