Author,"Janifer, Laurence M., 1933-2002"
Illustrator,"Martin, Don, 1931-2000"
Title,Extracts from the Galactick Almanack: Music Around the Universe
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Extraterrestrial beings -- Fiction, Musicians -- Fiction"
Category,Text
EBook-No.,51622
Release Date,"Apr 2, 2016"
Copyright Status,Public domain in the USA.
Downloads,40 downloads in the last 30 days.
Price,$0.00
