Contributor,"Cummings, Ray, 1887-1957, Leinster, Murray, 1896-1975, Meek, S. P. (Sterner St. Paul), 1894-1972, Pelcher, Anthony, 1897-1981, Rousseau, Victor, 1879-1960, Staley, M. L., Tench, C. V., 1892-1963"
Editor,"Bates, Harry, 1900-1981"
Title,Astounding Stories of Super-Science January 1930
Contents,"The Beetle Horde / Victor RousseauThe Cave of Horror / Captain S. P. MeekPhantoms of Reality / Ray CummingsThe Stolen Mind / M. L. StaleyCompensation / C. V. TenchTanks / Murray LeinsterInvisible Death / Anthony Pelcher."
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,41481
Release Date,"Nov 25, 2012"
Copyright Status,Public domain in the USA.
Downloads,258 downloads in the last 30 days.
Price,$0.00
