Author,"Verne, Jules, 1828-1905"
Title,"From the Earth to the Moon; and, Round the Moon"
Note,"Translation of: De la terre à la lune and Autour de la lune, There is an improved edition of this title, eBook #44278"
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Space flight to the moon -- Fiction, Moon -- Fiction, Space ships -- Fiction, Manned space flight -- Fiction"
Category,Text
EBook-No.,83
Release Date,"Sep 1, 1993"
Copyright Status,Public domain in the USA.
Downloads,578 downloads in the last 30 days.
Price,$0.00
