Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,Astounding Stories of Super-Science February 1930
Contents,"Old Crompton's Secret / Harl VincentSpawn of the Stars / Charles Willard DiffinThe Corpse on the Grating / Hugh B. CaveCreatures of the Light / Sophie Wenzel EllisInto Space / S. P. MeekThe Beetle Horde (Part 2 of 2) / Victor RousseauMad Music / Anthony PelcherThe Thief of Time / S. P. Meek"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,28617
Release Date,"Apr 26, 2009"
Copyright Status,Public domain in the USA.
Downloads,147 downloads in the last 30 days.
Price,$0.00
