Author,"Young, Robert F., 1915-1986"
Illustrator,"Nodel, Norman, 1922-2000"
Title,Sweet Tooth
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Extraterrestrial beings -- Fiction, Human-alien encounters -- Fiction, Journalists -- Fiction, Automobiles -- Fiction"
Category,Text
EBook-No.,50924
Release Date,"Jan 14, 2016"
Copyright Status,Public domain in the USA.
Downloads,37 downloads in the last 30 days.
Price,$0.00
