Author,"Wells, H. G. (Herbert George), 1866-1946"
Title,The War of the Worlds
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, War stories, Martians -- Fiction, Mars (Planet) -- Fiction, Space warfare -- Fiction, Imaginary wars and battles -- Fiction, Life on other planets -- Fiction"
Category,Text
EBook-No.,36
Release Date,"Oct 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,7623 downloads in the last 30 days.
Price,$0.00
