Author,"Bellamy, Edward, 1850-1898"
Title,"Looking Backward, 2000 to 1887"
Note,Sequel: Equality
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Utopias -- Fiction, Social problems -- Fiction, Time travel -- Fiction, Boston (Mass.) -- Fiction, Utopian fiction, Two thousand, A.D. -- Fiction"
Category,Text
EBook-No.,624
Release Date,"Aug 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,991 downloads in the last 30 days.
Price,$0.00
