Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories, February, 1931"
Contents,"Werewolves of War / Desmond W. HallThe Tentacles from Below / Harry Bates and Desmond W. HallThe Black Lamp / S. P. MeekPhalanxes of Atlans (Part 1 of 2) / F. V. W. MasonThe Pirate Planet (Part 4 of 4) / Charles Willard Diffin"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,30124
Release Date,"Sep 28, 2009"
Copyright Status,Public domain in the USA.
Downloads,69 downloads in the last 30 days.
Price,$0.00
