Author,"Smith, E. E. (Edward Elmer), 1890-1965"
Title,First Lensman
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Space warfare -- Fiction, Imaginary wars and battles -- Fiction, Human-alien encounters -- Fiction, Space colonies -- Fiction, Outer space -- Exploration -- Fiction, Space security -- Fiction, Psychic ability -- Fiction"
Category,Text
EBook-No.,49525
Release Date,"Jul 25, 2015"
Copyright Status,Public domain in the USA.
Downloads,314 downloads in the last 30 days.
Price,$0.00
