Author,"Verne, Jules, 1828-1905"
Uniform Title,Vingt mille lieues sous les mers. English
Title,Twenty Thousand Leagues Under the Sea
Alternate Title,"20,000 Leagues Under the Sea"
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Science fiction, Submarines (Ships) -- Fiction, Sea stories, Adventure stories, Underwater exploration -- Fiction"
Category,Sound
EBook-No.,20000
Release Date,"Sep 1, 2007"
Copyright Status,Public domain in the USA.
Downloads,286 downloads in the last 30 days.
Price,$0.00
