Author,"Astor, John Jacob, 1864-1912"
Title,A Journey in Other Worlds: A Romance of the Future
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Utopias -- Fiction, Space ships -- Fiction, Manned space flight -- Fiction, Jupiter (Planet) -- Fiction, Saturn (Planet) -- Fiction"
Category,Text
EBook-No.,1607
Release Date,"Jan 1, 1999"
Copyright Status,Public domain in the USA.
Downloads,278 downloads in the last 30 days.
Price,$0.00
