Author,"Stamers, James"
Illustrator,"Dillon, Diane, 1933-, Dillon, Leo, 1933-2012"
Title,Dumbwaiter
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Short stories, Man-woman relationships -- Fiction, Smugglers -- Fiction, Human-alien encounters -- Fiction, Parapsychology -- Fiction, Pets -- Fiction"
Category,Text
EBook-No.,51478
Release Date,"Mar 16, 2016"
Copyright Status,Public domain in the USA.
Downloads,33 downloads in the last 30 days.
Price,$0.00
