Author,Various
Editor,"Bates, Harry, 1900-1981"
Title,"Astounding Stories of Super-Science, June, 1930"
Contents,"Out of the Dreadful Depths / Charles Willard DiffinMurder Madness (Part 2 of 4) / Murray LeinsterThe Cavern World / James P. OlsenBrigands of the Moon (Part 4 of 4) / Ray CummingsGiants of the Ray / Tom CurryThe Moon Master / Charles Willard Diffin"
Language,English
LoC Class,"PN: Language and Literatures: Literature: General, Criticism, Collections"
Subject,"Science fiction -- Periodicals, Science fiction, American -- Periodicals"
Category,Text
EBook-No.,29848
Release Date,"Aug 29, 2009"
Copyright Status,Public domain in the USA.
Downloads,64 downloads in the last 30 days.
Price,$0.00
