Author,"Norton, Andre, 1912-2005"
LoC No.,63010861
Title,Key Out of Time
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Science fiction, Time travel -- Fiction, Trehern, Kerara (Fictitious character) -- Fiction, Fox, Travis (Fictitious character) -- Fiction, Ashe, Gordon (Fictitious character) -- Fiction"
Category,Text
EBook-No.,19651
Release Date,"Oct 28, 2006"
Copyright Status,Public domain in the USA.
Downloads,158 downloads in the last 30 days.
Price,$0.00
