Author,"Norton, Andre, 1912-2005"
Title,Rebel Spurs
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Historical fiction, Western stories, United States -- History -- Civil War, 1861-1865 -- Fiction, Fathers and sons -- Fiction, Arizona -- Fiction, Veterans -- United States -- 19th century -- Fiction, False personation -- Fiction, False arrest -- Fiction"
Category,Text
EBook-No.,20840
Release Date,"Mar 17, 2007"
Copyright Status,Public domain in the USA.
Downloads,97 downloads in the last 30 days.
Price,$0.00
