Author,"Harte, Bret, 1836-1902"
Title,Selected Stories of Bret Harte
Contents,The luck of Roaring Camp -- The outcasts of Poker Flat -- Miggles -- Tennessee's partner -- The idyl of Red Gulch -- Brown of Calaveras -- High-water mark -- A lonely ride -- The man of no account -- Mliss -- The right eye of the commander -- Notes by flood and field -- An episode of Fiddletown -- Barker's luck -- a yellow dog -- A mother of five -- Bulger's reputation -- In the Tules -- A convert of the mission -- The indiscretion of Elsbeth -- The devotion of Enriquez.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Western stories, Short stories, American, California -- Social life and customs -- Fiction"
Category,Text
EBook-No.,1312
Release Date,"May 3, 2006"
Copyright Status,Public domain in the USA.
Downloads,566 downloads in the last 30 days.
Price,$0.00
