Author,"Grey, Zane, 1872-1939"
Title,Betty Zane
Note,Early American Heroine
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Historical fiction, Biographical fiction, Women pioneers -- Fiction, Frontier and pioneer life -- Fiction, Zane, Betty -- Fiction, Wetzel, Lewis, 1763-1808 -- Fiction, Indians of North America -- Wars -- 1750-1815 -- Fiction, Fort Henry (W. Va.) -- Fiction, Ohio River Valley -- Fiction"
Category,Text
EBook-No.,1261
Release Date,"Apr 1, 1998"
Copyright Status,Public domain in the USA.
Downloads,87 downloads in the last 30 days.
Price,$0.00
