Author,"Grey, Zane, 1872-1939"
Title,The U. P. Trail
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Western stories, Love stories, Wyoming -- Fiction, Kidnapping victims -- Fiction, Union Pacific Railroad Company -- Fiction, Railroads -- Design and construction -- Fiction, Surveyors -- Fiction"
Category,Text
EBook-No.,4684
Release Date,"Nov 1, 2003"
Copyright Status,Public domain in the USA.
Downloads,142 downloads in the last 30 days.
Price,$0.00
