Author,"Adams, Andy, 1859-1935"
Title,Cattle Brands: A Collection of Western Camp-Fire Stories
Contents,"Drifting north -- Seigerman's percent -- ""Bad Medicine"" -- A winter round-up -- A college vagabond -- The double trail -- Rangering -- At Comanche Ford -- Around the spade wagon -- The ransom of Don Ramon Mora -- The passing of Peg-Leg -- In the hands of his friends -- A question of possession -- The story of a poker steer."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Western stories, West (U.S.) -- Social life and customs -- Fiction, Frontier and pioneer life -- Fiction, Cowboys -- Fiction, Ranch life -- Fiction"
Category,Text
EBook-No.,12281
Release Date,"May 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,59 downloads in the last 30 days.
Price,$0.00
