Author,"Bangs, John Kendrick, 1862-1922"
Title,Ghosts I Have Met and Some Others
Contents,"Ghosts that have haunted me -- The mystery of my grandmother's hair sofa -- The mystery of Barney O'Rourke -- The exorcism that failed -- Thurlow's Christmas story -- The Dampmere mystery -- Carleton Barker, first and second."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Ghost stories, American, United States -- Social life and customs -- 19th century -- Fiction"
Category,Text
EBook-No.,6995
Release Date,"Nov 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,41 downloads in the last 30 days.
Price,$0.00
