Author,"Leacock, Stephen, 1869-1944"
Title,Moonbeams from the Larger Lunacy
Contents,Spoof: a thousand guinea novel -- The reading public -- Afternoon adventures at my club -- Ram Spudd -- Aristocratic anecdotes -- Education made agreeable -- An every-day experience -- Truthful oratory -- Our literary bureau -- Speeding up business -- Who is also who -- Passionate paragraphs -- Weejee the pet dog -- Sidelights on the supermen -- The survival of the fittest -- The first newspaper -- In the good time after the war.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,Canadian wit and humor
Category,Text
EBook-No.,4064
Release Date,"May 1, 2003"
Copyright Status,Public domain in the USA.
Downloads,34 downloads in the last 30 days.
Price,$0.00
