Author,"Carryl, Guy Wetmore, 1873-1904"
Illustrator,"Newell, Peter, 1862-1924"
Title,Fables for the Frivolous
Contents,The ambitious fox and the unapproachable grapes -- The persevering tortoise and the pretentious hare -- The patrician peacocks and the overweening jay -- The arrogant frog and the superior bull -- The domineering eagle and the inventive bratling -- The iconoclastic rustic and the apropos acorn -- The unusual goose and the imbecilic woodcutter -- The rude rat and the unostentatious oyster -- The urban rat and the suburban rat -- The impecunious cricket and the frugal ant -- The pampered lapdog and the misguided ass -- The vainglorious oak and the modest bullrush -- The inhuman wolf and the lamb sans gene -- The sycophantic fox and the gullible raven -- The microscopic trout and the machiavellian fisherman -- The confiding peasant and the maladroit bear -- The precipitate cock and the unappreciated pearl -- The abbreviated fox and his sceptical comrades -- The hospitable caledonian and the thankless viper -- The impetuous breeze and the diplomatic sun.
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Fables, Humorous poetry"
Category,Text
EBook-No.,6438
Release Date,"Sep 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,67 downloads in the last 30 days.
Price,$0.00
