Author,"Wurdz, Gideon, 1875-"
Title,"The Foolish DictionaryAn exhausting work of reference to un-certain English words, their origin, meaning, legitimate and illegitimate use, confused by a few pictures [not included]"
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"American wit and humor, English language -- Dictionaries -- Humor, English language -- Semantics -- Humor, Vocabulary -- Humor"
Category,Text
EBook-No.,1989
Release Date,"Apr 1, 2007"
Copyright Status,Public domain in the USA.
Downloads,155 downloads in the last 30 days.
Price,$0.00
