Author,"Bangs, John Kendrick, 1862-1922"
Illustrator,"Newell, Peter, 1862-1924"
Title,"Mr. Munchausen Being a True Account of Some of the Recent Adventures beyond the Styx of the Late Hieronymus Carl Friedrich, Sometime Baron Munchausen of Bodenwerder"
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Humorous stories, American, Travelers -- Fiction, Fantasy fiction, American, Adventure stories, American, Truthfulness and falsehood -- Fiction"
Category,Text
EBook-No.,33432
Release Date,"Aug 14, 2010"
Copyright Status,Public domain in the USA.
Downloads,56 downloads in the last 30 days.
Price,$0.00
