Author,"Leacock, Stephen, 1869-1944"
Title,Nonsense Novels
Contents,"Maddened by mystery, or, The defective detective -- ""Q."" a psychic pstory of the psupernatural -- Guido the gimlet of Ghent: A romance of chivalry -- Gertrude the governess, or, Simple seventeen -- A hero in homespun, or, The life struggle of Hezekiah Hayloft -- Sorrows of a super soul, or, The memoirs of Marie Mushenough -- Hannah of the highlands, or, The laird of Loch Aucherlocherty -- Soaked in seaweed, or, Upset in the ocean -- Caroline's Christmas, or, The inexplicable infant -- The man in asbestos: An allegory of the future."
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Parodies, Humorous stories, Canadian"
Category,Text
EBook-No.,4682
Release Date,"Nov 1, 2003"
Copyright Status,Public domain in the USA.
Downloads,169 downloads in the last 30 days.
Price,$0.00
