Author,"Kipling, Rudyard, 1865-1936"
Illustrator,"Taber, I. W. (Isaac Walton), 1857-1933"
Title,"""Captains Courageous"": A Story of the Grand Banks"
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Sea stories, Bildungsromans, Children of the rich -- Fiction, Saltwater fishing -- Fiction, Fishing boats -- Fiction, Teenage boys -- Fiction, Rescues -- Fiction, Fishers -- Fiction, Grand Banks of Newfoundland -- Fiction"
Category,Text
EBook-No.,2225
Release Date,"Jun 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,192 downloads in the last 30 days.
Price,$0.00
