Author,"Wallace, Edgar, 1875-1932"
Title,"""Bones"": Being Further Adventures in Mr. Commissioner Sanders' Country"
Contents,"Prologue: Sanders, C.M.G. -- Hamilton of the Houssas -- The disciplinarians -- The lost N'bosini -- The fetish stick -- A frontier and a code -- The soul of the native woman -- The stranger who walked by night -- A right of way -- The green crocodile -- Henry Hamilton Bones -- Bones at M'fa -- The man who did not sleep."
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Short stories, English, Great Britain -- Colonies -- Africa -- Administration -- Fiction, Africa -- History -- 1884-1918 -- Fiction"
Category,Text
EBook-No.,24450
Release Date,"Jan 29, 2008"
Copyright Status,Public domain in the USA.
Downloads,87 downloads in the last 30 days.
Price,$0.00
