Author,"Haggard, H. Rider (Henry Rider), 1856-1925"
Title,She
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Africa -- Fiction, Fantasy fiction, Love stories, Adventure stories, Ayesha (Fictitious character : Haggard) -- Fiction, Immortalism -- Fiction, Reincarnation -- Fiction, Women -- Africa -- Fiction"
Category,Text
EBook-No.,3155
Release Date,"Apr 6, 2006"
Copyright Status,Public domain in the USA.
Downloads,831 downloads in the last 30 days.
Price,$0.00
