Author,"Dumas, Alexandre, 1802-1870"
Title,Louise de la Valliere
Note,A translation of the latter part of the Vicomte de Bragelonne.
Language,English
LoC Class,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese"
Subject,"Historical fiction, France -- History -- Louis XIV, 1643-1715 -- Fiction, Adventure stories, La Vallière, Françoise-Louise de La Baume Le Blanc, duchesse de, 1644-1710 -- Fiction"
Category,Text
EBook-No.,2710
Release Date,"Jul 1, 2001"
Copyright Status,Public domain in the USA.
Downloads,213 downloads in the last 30 days.
Price,$0.00
