Author,"Orczy, Emmuska Orczy, Baroness, 1865-1947"
Title,El Dorado: An Adventure of the Scarlet Pimpernel
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Historical fiction, France -- History -- Revolution, 1789-1799 -- Fiction, Adventure stories, British -- France -- Fiction, Blakeney, Percy, Sir (Fictitious character) -- Fiction, Nobility -- Great Britain -- Fiction, Aristocracy (Social class) -- Fiction"
Category,Text
EBook-No.,1752
Release Date,"May 1, 1999"
Copyright Status,Public domain in the USA.
Downloads,124 downloads in the last 30 days.
Price,$0.00
