Author,"Orczy, Emmuska Orczy, Baroness, 1865-1947"
Title,The Elusive Pimpernel
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Historical fiction, France -- History -- Revolution, 1789-1799 -- Fiction, Adventure stories, Blakeney, Percy, Sir (Fictitious character) -- Fiction, Nobility -- Great Britain -- Fiction"
Category,Text
EBook-No.,2785
Release Date,"Aug 1, 2001"
Copyright Status,Public domain in the USA.
Downloads,127 downloads in the last 30 days.
Price,$0.00
