Author,"Haggard, H. Rider (Henry Rider), 1856-1925"
Title,King Solomon's Mines
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Africa -- Fiction, Missing persons -- Fiction, Adventure stories, Treasure troves -- Fiction, Hunting guides -- Fiction, Diamond mines and mining -- Fiction, Quatermain, Allan (Fictitious character) -- Fiction"
Category,Text
EBook-No.,2166
Release Date,"May 1, 2000"
Copyright Status,Public domain in the USA.
Downloads,1030 downloads in the last 30 days.
Price,$0.00
