Author,"Marsh, Richard, 1857-1915"
Title,The Beetle: A Mystery
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Horror tales, London (England) -- Fiction, Revenge -- Fiction, Monsters -- Fiction, Politicians -- Fiction, British -- Egypt -- Fiction, Egyptologists -- Fiction, Egypt -- Antiquities -- Collection and preservation -- Fiction, Paranormal fiction, Champnell, Augustus (Fictitious character) -- Fiction"
Category,Text
EBook-No.,5164
Release Date,"Feb 1, 2004"
Copyright Status,Public domain in the USA.
Downloads,508 downloads in the last 30 days.
Price,$0.00
