Author,"Dickens, Charles, 1812-1870"
Title,The Mystery of Edwin Drood
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"England -- Fiction, Psychological fiction, Triangles (Interpersonal relations) -- Fiction, Cathedrals -- Fiction, Missing persons -- Fiction, Choral conductors -- Fiction, Separation (Psychology) -- Fiction, Mystery fiction"
Category,Text
EBook-No.,564
Release Date,"Jun 1, 1996"
Copyright Status,Public domain in the USA.
Downloads,728 downloads in the last 30 days.
Price,$0.00
