Author,"Brown, Charles Brockden, 1771-1810"
Title,"Wieland; Or, The Transformation: An American Tale"
Language,English
LoC Class,PS: Language and Literatures: American and Canadian literature
Subject,"Horror tales, Psychological fiction, Epistolary fiction, Gothic fiction, Combustion, Spontaneous -- Fiction, Religious fanaticism -- Fiction, Brothers and sisters -- Fiction, Fathers -- Death -- Fiction, Radicals -- Fiction, Pennsylvania -- History -- Colonial period, ca. 1600-1775 -- Fiction"
Category,Text
EBook-No.,792
Release Date,"Jan 1, 1997"
Copyright Status,Public domain in the USA.
Downloads,650 downloads in the last 30 days.
Price,$0.00
