Author,"Radcliffe, Ann Ward, 1764-1823"
Title,The Mysteries of Udolpho
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Orphans -- Fiction, Horror tales, Inheritance and succession -- Fiction, Young women -- Fiction, Gothic fiction, Guardian and ward -- Fiction, Castles -- Fiction, Italy -- Fiction"
Category,Text
EBook-No.,3268
Release Date,"Jun 1, 2002"
Copyright Status,Public domain in the USA.
Downloads,1193 downloads in the last 30 days.
Price,$0.00
