Author,"Stevenson, Robert Louis, 1850-1894"
Title,The Strange Case of Dr. Jekyll and Mr. Hyde
Language,English
LoC Class,PR: Language and Literatures: English literature
Subject,"Science fiction, Horror tales, London (England) -- Fiction, Physicians -- Fiction, Psychological fiction, Self-experimentation in medicine -- Fiction, Multiple personality -- Fiction"
Category,Text
EBook-No.,42
Release Date,"Oct 1, 1992"
Copyright Status,Public domain in the USA.
Downloads,1731 downloads in the last 30 days.
Price,$0.00
